profile,source_file,entry_profile,test_kind,version_family,exact_version,case,scenario,metric,value,median_value,stdev_value,cv,mad_value,mad_ratio,min_value,max_value,baseline_value,delta_vs_baseline,baseline_median_value,delta_vs_baseline_median,classification,status,stable,robust_stable,semantic_warning,semantic_warning_reasons,comparison_reliable,comparison_robust_reliable,run_count,ok_runs,failed_runs,failure_reasons,results_csv
madvise_pageout_formal_refresh,mm/madvise.c,madvise_paths,workload,6.12,6.12.77,,pageout_refault_anon_16m,advise_ns_avg,8001457.555556,7821384.000000,445502.099794,0.055678,269347.000000,0.034437,7489829.000000,8807273.000000,13454383.111111,-0.405290,13195845.000000,-0.407284,improvement,ok,yes,yes,no,,yes,yes,9,9,0,,/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r01-bench-20260513T130117Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r02-bench-20260513T130156Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r03-bench-20260513T130222Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r04-bench-20260513T130247Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r05-bench-20260513T130300Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r06-bench-20260513T130338Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r07-bench-20260513T130351Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r08-bench-20260513T130430Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r09-bench-20260513T130456Z.results.csv
madvise_pageout_formal_refresh,mm/madvise.c,madvise_paths,workload,6.19,6.19.9,,pageout_refault_anon_16m,advise_ns_avg,13454383.111111,13195845.000000,1048785.389346,0.077951,471675.000000,0.035744,12579099.000000,15942172.000000,13454383.111111,0.000000,13195845.000000,0.000000,neutral,ok,yes,yes,no,,yes,yes,9,9,0,,/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r01-bench-20260513T130130Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r02-bench-20260513T130143Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r03-bench-20260513T130209Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r04-bench-20260513T130235Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r05-bench-20260513T130312Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r06-bench-20260513T130325Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r07-bench-20260513T130403Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r08-bench-20260513T130416Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r09-bench-20260513T130443Z.results.csv
madvise_pageout_formal_refresh,mm/madvise.c,madvise_paths,workload,6.12,6.12.77,,pageout_refault_anon_16m,advise_ns_per_page,1953.111111,1909.000000,108.869698,0.055742,66.000000,0.034573,1828.000000,2150.000000,3284.222222,-0.405305,3221.000000,-0.407327,improvement,ok,yes,yes,no,,yes,yes,9,9,0,,/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r01-bench-20260513T130117Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r02-bench-20260513T130156Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r03-bench-20260513T130222Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r04-bench-20260513T130247Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r05-bench-20260513T130300Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r06-bench-20260513T130338Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r07-bench-20260513T130351Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r08-bench-20260513T130430Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r09-bench-20260513T130456Z.results.csv
madvise_pageout_formal_refresh,mm/madvise.c,madvise_paths,workload,6.19,6.19.9,,pageout_refault_anon_16m,advise_ns_per_page,3284.222222,3221.000000,256.176100,0.078002,115.000000,0.035703,3071.000000,3892.000000,3284.222222,0.000000,3221.000000,0.000000,neutral,ok,yes,yes,no,,yes,yes,9,9,0,,/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r01-bench-20260513T130130Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r02-bench-20260513T130143Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r03-bench-20260513T130209Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r04-bench-20260513T130235Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r05-bench-20260513T130312Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r06-bench-20260513T130325Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r07-bench-20260513T130403Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r08-bench-20260513T130416Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r09-bench-20260513T130443Z.results.csv
madvise_pageout_formal_refresh,mm/madvise.c,madvise_paths,workload,6.12,6.12.77,,pageout_refault_anon_16m,cycle_ns_avg,8825789.000000,8925930.000000,571116.308157,0.064710,543411.000000,0.060880,8227464.000000,9748508.000000,15119064.333333,-0.416248,14905495.000000,-0.401165,improvement,ok,yes,yes,no,,yes,yes,9,9,0,,/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r01-bench-20260513T130117Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r02-bench-20260513T130156Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r03-bench-20260513T130222Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r04-bench-20260513T130247Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r05-bench-20260513T130300Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r06-bench-20260513T130338Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r07-bench-20260513T130351Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r08-bench-20260513T130430Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r09-bench-20260513T130456Z.results.csv
madvise_pageout_formal_refresh,mm/madvise.c,madvise_paths,workload,6.19,6.19.9,,pageout_refault_anon_16m,cycle_ns_avg,15119064.333333,14905495.000000,1173394.276548,0.077610,572616.000000,0.038416,14169560.000000,17922688.000000,15119064.333333,0.000000,14905495.000000,0.000000,neutral,ok,yes,yes,no,,yes,yes,9,9,0,,/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r01-bench-20260513T130130Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r02-bench-20260513T130143Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r03-bench-20260513T130209Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r04-bench-20260513T130235Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r05-bench-20260513T130312Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r06-bench-20260513T130325Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r07-bench-20260513T130403Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r08-bench-20260513T130416Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r09-bench-20260513T130443Z.results.csv
madvise_pageout_formal_refresh,mm/madvise.c,madvise_paths,workload,6.12,6.12.77,,pageout_refault_anon_16m,cycle_ns_per_page,2154.222222,2179.000000,139.500697,0.064757,132.000000,0.060578,2008.000000,2380.000000,3690.888889,-0.416341,3639.000000,-0.401209,improvement,ok,yes,yes,no,,yes,yes,9,9,0,,/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r01-bench-20260513T130117Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r02-bench-20260513T130156Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r03-bench-20260513T130222Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r04-bench-20260513T130247Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r05-bench-20260513T130300Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r06-bench-20260513T130338Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r07-bench-20260513T130351Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r08-bench-20260513T130430Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r09-bench-20260513T130456Z.results.csv
madvise_pageout_formal_refresh,mm/madvise.c,madvise_paths,workload,6.19,6.19.9,,pageout_refault_anon_16m,cycle_ns_per_page,3690.888889,3639.000000,286.323438,0.077576,140.000000,0.038472,3459.000000,4375.000000,3690.888889,0.000000,3639.000000,0.000000,neutral,ok,yes,yes,no,,yes,yes,9,9,0,,/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r01-bench-20260513T130130Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r02-bench-20260513T130143Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r03-bench-20260513T130209Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r04-bench-20260513T130235Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r05-bench-20260513T130312Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r06-bench-20260513T130325Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r07-bench-20260513T130403Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r08-bench-20260513T130416Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r09-bench-20260513T130443Z.results.csv
madvise_pageout_formal_refresh,mm/madvise.c,madvise_paths,workload,6.12,6.12.77,,pageout_refault_anon_16m,ns_per_page,200.666667,196.000000,45.598794,0.227237,36.000000,0.183673,145.000000,269.000000,406.000000,-0.505747,407.000000,-0.518428,improvement,ok,no,no,no,,no,no,9,9,0,,/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r01-bench-20260513T130117Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r02-bench-20260513T130156Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r03-bench-20260513T130222Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r04-bench-20260513T130247Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r05-bench-20260513T130300Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r06-bench-20260513T130338Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r07-bench-20260513T130351Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r08-bench-20260513T130430Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_12_pageout_refault_anon_16m_r09-bench-20260513T130456Z.results.csv
madvise_pageout_formal_refresh,mm/madvise.c,madvise_paths,workload,6.19,6.19.9,,pageout_refault_anon_16m,ns_per_page,406.000000,407.000000,34.018377,0.083789,19.000000,0.046683,370.000000,483.000000,406.000000,0.000000,407.000000,0.000000,neutral,ok,yes,yes,no,,yes,yes,9,9,0,,/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r01-bench-20260513T130130Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r02-bench-20260513T130143Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r03-bench-20260513T130209Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r04-bench-20260513T130235Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r05-bench-20260513T130312Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r06-bench-20260513T130325Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r07-bench-20260513T130403Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r08-bench-20260513T130416Z.results.csv;/workspace/kernel-study/out/workload-results/madvise_pageout_formal_refresh_mmreg_madvise_pageout_formal_refresh_v6_19_pageout_refault_anon_16m_r09-bench-20260513T130443Z.results.csv
