profile,source_file,entry_profile,test_kind,version_family,exact_version,case,scenario,metric,value,median_value,stdev_value,cv,mad_value,mad_ratio,min_value,max_value,baseline_value,delta_vs_baseline,baseline_median_value,delta_vs_baseline_median,classification,status,stable,robust_stable,semantic_warning,semantic_warning_reasons,comparison_reliable,comparison_robust_reliable,run_count,ok_runs,failed_runs,failure_reasons,results_csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.12,6.12.77,,pageout_refault_anon_16m,advise_ns_avg,7048059.000000,7048059.000000,0.000000,0.000000,0.000000,0.000000,7048059.000000,7048059.000000,11630070.000000,-0.393980,11630070.000000,-0.393980,improvement,ok,yes,yes,no,,yes,yes,1,1,0,,/workspace/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_12_pageout_refault_anon_16m_r01-bench-20260515T073456Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.18,6.18.19,,pageout_refault_anon_16m,advise_ns_avg,11552960.000000,11552960.000000,0.000000,0.000000,0.000000,0.000000,11552960.000000,11552960.000000,11630070.000000,-0.006630,11630070.000000,-0.006630,neutral,ok,yes,yes,no,,yes,yes,1,1,0,,/workspace/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_18_pageout_refault_anon_16m_r01-bench-20260515T073606Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.19,6.19.9,,pageout_refault_anon_16m,advise_ns_avg,11630070.000000,11630070.000000,0.000000,0.000000,0.000000,0.000000,11630070.000000,11630070.000000,11630070.000000,0.000000,11630070.000000,0.000000,neutral,ok,yes,yes,no,,yes,yes,1,1,0,,/workspace/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_19_pageout_refault_anon_16m_r01-bench-20260515T073618Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.12,6.12.77,,pageout_refault_anon_16m,advise_ns_per_page,1720.000000,1720.000000,0.000000,0.000000,0.000000,0.000000,1720.000000,1720.000000,2839.000000,-0.394153,2839.000000,-0.394153,improvement,ok,yes,yes,no,,yes,yes,1,1,0,,/workspace/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_12_pageout_refault_anon_16m_r01-bench-20260515T073456Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.18,6.18.19,,pageout_refault_anon_16m,advise_ns_per_page,2820.000000,2820.000000,0.000000,0.000000,0.000000,0.000000,2820.000000,2820.000000,2839.000000,-0.006692,2839.000000,-0.006692,neutral,ok,yes,yes,no,,yes,yes,1,1,0,,/workspace/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_18_pageout_refault_anon_16m_r01-bench-20260515T073606Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.19,6.19.9,,pageout_refault_anon_16m,advise_ns_per_page,2839.000000,2839.000000,0.000000,0.000000,0.000000,0.000000,2839.000000,2839.000000,2839.000000,0.000000,2839.000000,0.000000,neutral,ok,yes,yes,no,,yes,yes,1,1,0,,/workspace/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_19_pageout_refault_anon_16m_r01-bench-20260515T073618Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.12,6.12.77,,pageout_refault_anon_16m,cycle_ns_avg,7673948.000000,7673948.000000,0.000000,0.000000,0.000000,0.000000,7673948.000000,7673948.000000,13066453.000000,-0.412698,13066453.000000,-0.412698,improvement,ok,yes,yes,no,,yes,yes,1,1,0,,/workspace/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_12_pageout_refault_anon_16m_r01-bench-20260515T073456Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.18,6.18.19,,pageout_refault_anon_16m,cycle_ns_avg,12000750.000000,12000750.000000,0.000000,0.000000,0.000000,0.000000,12000750.000000,12000750.000000,13066453.000000,-0.081560,13066453.000000,-0.081560,improvement,ok,yes,yes,no,,yes,yes,1,1,0,,/workspace/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_18_pageout_refault_anon_16m_r01-bench-20260515T073606Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.19,6.19.9,,pageout_refault_anon_16m,cycle_ns_avg,13066453.000000,13066453.000000,0.000000,0.000000,0.000000,0.000000,13066453.000000,13066453.000000,13066453.000000,0.000000,13066453.000000,0.000000,neutral,ok,yes,yes,no,,yes,yes,1,1,0,,/workspace/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_19_pageout_refault_anon_16m_r01-bench-20260515T073618Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.12,6.12.77,,pageout_refault_anon_16m,cycle_ns_per_page,1873.000000,1873.000000,0.000000,0.000000,0.000000,0.000000,1873.000000,1873.000000,3190.000000,-0.412853,3190.000000,-0.412853,improvement,ok,yes,yes,no,,yes,yes,1,1,0,,/workspace/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_12_pageout_refault_anon_16m_r01-bench-20260515T073456Z.results.csv
