profile,source_file,entry_profile,test_kind,version_family,exact_version,case,scenario,metric,value,status,run_id,failure_reason,results_csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.12,6.12.77,,pageout_refault_anon_16m,cycle_ns_per_page,1065.000000,ok,madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_12_pageout_refault_anon_16m_r01-bench-20260515T074846Z,,/home/lcf/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_12_pageout_refault_anon_16m_r01-bench-20260515T074846Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.12,6.12.77,,pageout_refault_anon_16m,advise_ns_per_page,932.000000,ok,madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_12_pageout_refault_anon_16m_r01-bench-20260515T074846Z,,/home/lcf/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_12_pageout_refault_anon_16m_r01-bench-20260515T074846Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.12,6.12.77,,pageout_refault_anon_16m,cycle_ns_avg,4362263.000000,ok,madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_12_pageout_refault_anon_16m_r01-bench-20260515T074846Z,,/home/lcf/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_12_pageout_refault_anon_16m_r01-bench-20260515T074846Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.12,6.12.77,,pageout_refault_anon_16m,advise_ns_avg,3819243.000000,ok,madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_12_pageout_refault_anon_16m_r01-bench-20260515T074846Z,,/home/lcf/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_12_pageout_refault_anon_16m_r01-bench-20260515T074846Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.18,6.18.19,,pageout_refault_anon_16m,cycle_ns_per_page,1868.000000,ok,madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_18_pageout_refault_anon_16m_r01-bench-20260515T075522Z,,/home/lcf/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_18_pageout_refault_anon_16m_r01-bench-20260515T075522Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.18,6.18.19,,pageout_refault_anon_16m,advise_ns_per_page,1609.000000,ok,madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_18_pageout_refault_anon_16m_r01-bench-20260515T075522Z,,/home/lcf/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_18_pageout_refault_anon_16m_r01-bench-20260515T075522Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.18,6.18.19,,pageout_refault_anon_16m,cycle_ns_avg,7655023.000000,ok,madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_18_pageout_refault_anon_16m_r01-bench-20260515T075522Z,,/home/lcf/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_18_pageout_refault_anon_16m_r01-bench-20260515T075522Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.18,6.18.19,,pageout_refault_anon_16m,advise_ns_avg,6591321.000000,ok,madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_18_pageout_refault_anon_16m_r01-bench-20260515T075522Z,,/home/lcf/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_18_pageout_refault_anon_16m_r01-bench-20260515T075522Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.19,6.19.9,,pageout_refault_anon_16m,cycle_ns_per_page,1826.000000,ok,madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_19_pageout_refault_anon_16m_r01-bench-20260515T075540Z,,/home/lcf/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_19_pageout_refault_anon_16m_r01-bench-20260515T075540Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.19,6.19.9,,pageout_refault_anon_16m,advise_ns_per_page,1587.000000,ok,madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_19_pageout_refault_anon_16m_r01-bench-20260515T075540Z,,/home/lcf/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_19_pageout_refault_anon_16m_r01-bench-20260515T075540Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.19,6.19.9,,pageout_refault_anon_16m,cycle_ns_avg,7483226.000000,ok,madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_19_pageout_refault_anon_16m_r01-bench-20260515T075540Z,,/home/lcf/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_19_pageout_refault_anon_16m_r01-bench-20260515T075540Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.19,6.19.9,,pageout_refault_anon_16m,advise_ns_avg,6500406.000000,ok,madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_19_pageout_refault_anon_16m_r01-bench-20260515T075540Z,,/home/lcf/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_19_pageout_refault_anon_16m_r01-bench-20260515T075540Z.results.csv
