profile,source_file,entry_profile,test_kind,version_family,exact_version,case,scenario,metric,value,median_value,stdev_value,cv,mad_value,mad_ratio,min_value,max_value,baseline_value,delta_vs_baseline,baseline_median_value,delta_vs_baseline_median,classification,status,stable,robust_stable,semantic_warning,semantic_warning_reasons,comparison_reliable,comparison_robust_reliable,run_count,ok_runs,failed_runs,failure_reasons,results_csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.12,6.12.77,,pageout_refault_anon_16m,advise_ns_avg,3819243.000000,3819243.000000,0.000000,0.000000,0.000000,0.000000,3819243.000000,3819243.000000,6500406.000000,-0.412461,6500406.000000,-0.412461,improvement,ok,yes,yes,no,,yes,yes,1,1,0,,/home/lcf/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_12_pageout_refault_anon_16m_r01-bench-20260515T074846Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.18,6.18.19,,pageout_refault_anon_16m,advise_ns_avg,6591321.000000,6591321.000000,0.000000,0.000000,0.000000,0.000000,6591321.000000,6591321.000000,6500406.000000,0.013986,6500406.000000,0.013986,neutral,ok,yes,yes,no,,yes,yes,1,1,0,,/home/lcf/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_18_pageout_refault_anon_16m_r01-bench-20260515T075522Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.19,6.19.9,,pageout_refault_anon_16m,advise_ns_avg,6500406.000000,6500406.000000,0.000000,0.000000,0.000000,0.000000,6500406.000000,6500406.000000,6500406.000000,0.000000,6500406.000000,0.000000,neutral,ok,yes,yes,no,,yes,yes,1,1,0,,/home/lcf/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_19_pageout_refault_anon_16m_r01-bench-20260515T075540Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.12,6.12.77,,pageout_refault_anon_16m,advise_ns_per_page,932.000000,932.000000,0.000000,0.000000,0.000000,0.000000,932.000000,932.000000,1587.000000,-0.412728,1587.000000,-0.412728,improvement,ok,yes,yes,no,,yes,yes,1,1,0,,/home/lcf/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_12_pageout_refault_anon_16m_r01-bench-20260515T074846Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.18,6.18.19,,pageout_refault_anon_16m,advise_ns_per_page,1609.000000,1609.000000,0.000000,0.000000,0.000000,0.000000,1609.000000,1609.000000,1587.000000,0.013863,1587.000000,0.013863,neutral,ok,yes,yes,no,,yes,yes,1,1,0,,/home/lcf/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_18_pageout_refault_anon_16m_r01-bench-20260515T075522Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.19,6.19.9,,pageout_refault_anon_16m,advise_ns_per_page,1587.000000,1587.000000,0.000000,0.000000,0.000000,0.000000,1587.000000,1587.000000,1587.000000,0.000000,1587.000000,0.000000,neutral,ok,yes,yes,no,,yes,yes,1,1,0,,/home/lcf/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_19_pageout_refault_anon_16m_r01-bench-20260515T075540Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.12,6.12.77,,pageout_refault_anon_16m,cycle_ns_avg,4362263.000000,4362263.000000,0.000000,0.000000,0.000000,0.000000,4362263.000000,4362263.000000,7483226.000000,-0.417061,7483226.000000,-0.417061,improvement,ok,yes,yes,no,,yes,yes,1,1,0,,/home/lcf/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_12_pageout_refault_anon_16m_r01-bench-20260515T074846Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.18,6.18.19,,pageout_refault_anon_16m,cycle_ns_avg,7655023.000000,7655023.000000,0.000000,0.000000,0.000000,0.000000,7655023.000000,7655023.000000,7483226.000000,0.022958,7483226.000000,0.022958,neutral,ok,yes,yes,no,,yes,yes,1,1,0,,/home/lcf/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_18_pageout_refault_anon_16m_r01-bench-20260515T075522Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.19,6.19.9,,pageout_refault_anon_16m,cycle_ns_avg,7483226.000000,7483226.000000,0.000000,0.000000,0.000000,0.000000,7483226.000000,7483226.000000,7483226.000000,0.000000,7483226.000000,0.000000,neutral,ok,yes,yes,no,,yes,yes,1,1,0,,/home/lcf/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_19_pageout_refault_anon_16m_r01-bench-20260515T075540Z.results.csv
madvise_pageout_reproducer_release_narrowing,mm/madvise.c,madvise_pageout_reproducer,workload,6.12,6.12.77,,pageout_refault_anon_16m,cycle_ns_per_page,1065.000000,1065.000000,0.000000,0.000000,0.000000,0.000000,1065.000000,1065.000000,1826.000000,-0.416758,1826.000000,-0.416758,improvement,ok,yes,yes,no,,yes,yes,1,1,0,,/home/lcf/kernel-study/out/workload-results/madvise_pageout_reproducer_release_narrowing_mmreg_madvise_pageout_reproducer_v6_12_pageout_refault_anon_16m_r01-bench-20260515T074846Z.results.csv
