profile,source_file,entry_profile,test_kind,version_family,exact_version,case,scenario,metric,value,status,run_id,failure_reason,results_csv
mprotect_shared_dirty_formal_refresh,mm/mprotect.c,mprotect_paths,workload,6.19,6.19.9,,shared_dirty_full_toggle_64m,cycle_ns_per_page,577.000000,ok,mprotect_shared_dirty_formal_refresh_mmreg_mprotect_shared_dirty_formal_refresh_v6_19_shared_dirty_full_toggle_64m_r01-bench-20260513T121050Z,,/workspace/kernel-study/out/workload-results/mprotect_shared_dirty_formal_refresh_mmreg_mprotect_shared_dirty_formal_refresh_v6_19_shared_dirty_full_toggle_64m_r01-bench-20260513T121050Z.results.csv
mprotect_shared_dirty_formal_refresh,mm/mprotect.c,mprotect_paths,workload,6.19,6.19.9,,shared_dirty_full_toggle_64m,protect_ns_per_page,170.000000,ok,mprotect_shared_dirty_formal_refresh_mmreg_mprotect_shared_dirty_formal_refresh_v6_19_shared_dirty_full_toggle_64m_r01-bench-20260513T121050Z,,/workspace/kernel-study/out/workload-results/mprotect_shared_dirty_formal_refresh_mmreg_mprotect_shared_dirty_formal_refresh_v6_19_shared_dirty_full_toggle_64m_r01-bench-20260513T121050Z.results.csv
mprotect_shared_dirty_formal_refresh,mm/mprotect.c,mprotect_paths,workload,6.19,6.19.9,,shared_dirty_full_toggle_64m,restore_ns_per_page,187.000000,ok,mprotect_shared_dirty_formal_refresh_mmreg_mprotect_shared_dirty_formal_refresh_v6_19_shared_dirty_full_toggle_64m_r01-bench-20260513T121050Z,,/workspace/kernel-study/out/workload-results/mprotect_shared_dirty_formal_refresh_mmreg_mprotect_shared_dirty_formal_refresh_v6_19_shared_dirty_full_toggle_64m_r01-bench-20260513T121050Z.results.csv
mprotect_shared_dirty_formal_refresh,mm/mprotect.c,mprotect_paths,workload,6.19,6.19.9,,shared_dirty_full_toggle_64m,cycle_ns_per_page,577.000000,ok,mprotect_shared_dirty_formal_refresh_mmreg_mprotect_shared_dirty_formal_refresh_v6_19_shared_dirty_full_toggle_64m_r02-bench-20260513T121104Z,,/workspace/kernel-study/out/workload-results/mprotect_shared_dirty_formal_refresh_mmreg_mprotect_shared_dirty_formal_refresh_v6_19_shared_dirty_full_toggle_64m_r02-bench-20260513T121104Z.results.csv
mprotect_shared_dirty_formal_refresh,mm/mprotect.c,mprotect_paths,workload,6.19,6.19.9,,shared_dirty_full_toggle_64m,protect_ns_per_page,195.000000,ok,mprotect_shared_dirty_formal_refresh_mmreg_mprotect_shared_dirty_formal_refresh_v6_19_shared_dirty_full_toggle_64m_r02-bench-20260513T121104Z,,/workspace/kernel-study/out/workload-results/mprotect_shared_dirty_formal_refresh_mmreg_mprotect_shared_dirty_formal_refresh_v6_19_shared_dirty_full_toggle_64m_r02-bench-20260513T121104Z.results.csv
mprotect_shared_dirty_formal_refresh,mm/mprotect.c,mprotect_paths,workload,6.19,6.19.9,,shared_dirty_full_toggle_64m,restore_ns_per_page,170.000000,ok,mprotect_shared_dirty_formal_refresh_mmreg_mprotect_shared_dirty_formal_refresh_v6_19_shared_dirty_full_toggle_64m_r02-bench-20260513T121104Z,,/workspace/kernel-study/out/workload-results/mprotect_shared_dirty_formal_refresh_mmreg_mprotect_shared_dirty_formal_refresh_v6_19_shared_dirty_full_toggle_64m_r02-bench-20260513T121104Z.results.csv
mprotect_shared_dirty_formal_refresh,mm/mprotect.c,mprotect_paths,workload,6.19,6.19.9,,shared_dirty_full_toggle_64m,cycle_ns_per_page,816.000000,ok,mprotect_shared_dirty_formal_refresh_mmreg_mprotect_shared_dirty_formal_refresh_v6_19_shared_dirty_full_toggle_64m_r03-bench-20260513T121119Z,,/workspace/kernel-study/out/workload-results/mprotect_shared_dirty_formal_refresh_mmreg_mprotect_shared_dirty_formal_refresh_v6_19_shared_dirty_full_toggle_64m_r03-bench-20260513T121119Z.results.csv
mprotect_shared_dirty_formal_refresh,mm/mprotect.c,mprotect_paths,workload,6.19,6.19.9,,shared_dirty_full_toggle_64m,protect_ns_per_page,253.000000,ok,mprotect_shared_dirty_formal_refresh_mmreg_mprotect_shared_dirty_formal_refresh_v6_19_shared_dirty_full_toggle_64m_r03-bench-20260513T121119Z,,/workspace/kernel-study/out/workload-results/mprotect_shared_dirty_formal_refresh_mmreg_mprotect_shared_dirty_formal_refresh_v6_19_shared_dirty_full_toggle_64m_r03-bench-20260513T121119Z.results.csv
mprotect_shared_dirty_formal_refresh,mm/mprotect.c,mprotect_paths,workload,6.19,6.19.9,,shared_dirty_full_toggle_64m,restore_ns_per_page,253.000000,ok,mprotect_shared_dirty_formal_refresh_mmreg_mprotect_shared_dirty_formal_refresh_v6_19_shared_dirty_full_toggle_64m_r03-bench-20260513T121119Z,,/workspace/kernel-study/out/workload-results/mprotect_shared_dirty_formal_refresh_mmreg_mprotect_shared_dirty_formal_refresh_v6_19_shared_dirty_full_toggle_64m_r03-bench-20260513T121119Z.results.csv
mprotect_shared_dirty_formal_refresh,mm/mprotect.c,mprotect_paths,workload,6.19,6.19.9,,shared_dirty_full_toggle_64m,cycle_ns_per_page,577.000000,ok,mprotect_shared_dirty_formal_refresh_mmreg_mprotect_shared_dirty_formal_refresh_v6_19_shared_dirty_full_toggle_64m_r04-bench-20260513T121136Z,,/workspace/kernel-study/out/workload-results/mprotect_shared_dirty_formal_refresh_mmreg_mprotect_shared_dirty_formal_refresh_v6_19_shared_dirty_full_toggle_64m_r04-bench-20260513T121136Z.results.csv
